epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
189,4933.4,0.80122,0.69685,0.99429,0.83361,0.006898,0.006898,0.006898
190,4961.04,0.80174,0.69811,0.99443,0.83624,0.0068815,0.0068815,0.0068815
191,4990.31,0.80158,0.69824,0.99457,0.83514,0.006865,0.006865,0.006865
192,5023.99,0.79818,0.69741,0.99443,0.83522,0.0068485,0.0068485,0.0068485
193,5055.66,0.80024,0.69713,0.99443,0.83464,0.006832,0.006832,0.006832
194,5084.32,0.79815,0.69685,0.99443,0.83376,0.0068155,0.0068155,0.0068155
195,5112.61,0.79734,0.69699,0.99429,0.83421,0.006799,0.006799,0.006799
196,5141.17,0.79718,0.69936,0.99429,0.83363,0.0067825,0.0067825,0.0067825
197,5170.71,0.79926,0.6995,0.99429,0.83334,0.006766,0.006766,0.006766
198,5197.87,0.79618,0.69922,0.99415,0.83427,0.0067495,0.0067495,0.0067495
199,5227.2,0.79591,0.69811,0.99415,0.83413,0.006733,0.006733,0.006733
200,5256.28,0.79441,0.69755,0.99443,0.83433,0.0067165,0.0067165,0.0067165
201,5285.15,0.79199,0.69769,0.99443,0.83528,0.0067,0.0067,0.0067
202,5314.34,0.78911,0.69838,0.99429,0.83434,0.0066835,0.0066835,0.0066835
203,5345.13,0.79168,0.69852,0.99415,0.83453,0.006667,0.006667,0.006667
204,5378.18,0.78784,0.69936,0.99429,0.83415,0.0066505,0.0066505,0.0066505
205,5407.24,0.79178,0.6988,0.99415,0.8337,0.006634,0.006634,0.006634
206,5434.45,0.78603,0.69894,0.99415,0.83422,0.0066175,0.0066175,0.0066175
207,5462.27,0.78496,0.69866,0.99415,0.83398,0.006601,0.006601,0.006601
208,5491.16,0.78203,0.69936,0.99415,0.83477,0.0065845,0.0065845,0.0065845
209,5519.48,0.7829,0.70047,0.99429,0.83494,0.006568,0.006568,0.006568
210,5547.24,0.78265,0.70173,0.99415,0.83465,0.0065515,0.0065515,0.0065515
211,5574.97,0.77903,0.70228,0.99429,0.83526,0.006535,0.006535,0.006535
212,5602.84,0.77982,0.70228,0.99415,0.83602,0.0065185,0.0065185,0.0065185
213,5630.21,0.77914,0.70215,0.99401,0.83621,0.006502,0.006502,0.006502
214,5657.96,0.78065,0.70215,0.99401,0.83664,0.0064855,0.0064855,0.0064855
215,5684.8,0.77216,0.70145,0.99429,0.83562,0.006469,0.006469,0.006469
216,5715.1,0.77663,0.70256,0.99443,0.83638,0.0064525,0.0064525,0.0064525
217,5746.07,0.77459,0.70201,0.99457,0.83614,0.006436,0.006436,0.006436
218,5778.31,0.76697,0.70201,0.99415,0.83574,0.0064195,0.0064195,0.0064195
219,5829,0.78034,0.70228,0.99415,0.83652,0.006403,0.006403,0.006403
220,5859.42,0.77312,0.70117,0.99387,0.83581,0.0063865,0.0063865,0.0063865
221,5888.51,0.77703,0.70173,0.99401,0.83696,0.00637,0.00637,0.00637
222,5916.25,0.76786,0.70242,0.99387,0.83706,0.0063535,0.0063535,0.0063535
223,5943.71,0.76864,0.7034,0.99373,0.83714,0.006337,0.006337,0.006337
